Vernier Format 2
Sin título.cmbl 8/09/2026 13:40:46 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

8.55	0.6282045	-0.169689722222	1.63279645062	-18.9717289692	-1.91016590357	9.63701861672
8.6	0.62769	-0.0266777777778	1.16408271605	-19.0240888467	-1.26051557088	4.94509954732
8.65	0.6343785	-0.0358244444444	0.441559567901	-19.0589954318	-1.32838948624	-1.66452697181
8.7	0.6251175	-0.0465908333333	0.689334722222	-19.1462618944	-1.65806278939	-4.22865266301
8.75	0.6244315	0.0103852777778	1.17869197531	-19.233528357	-1.89077335633	-3.74922580058
8.8	0.618429	0.180170277778	-0.0354645061728	-19.3382481121	-2.04591373428	-2.57489932856
8.85	0.661647	0.0346811111111	-1.5692779321	-19.4429678672	-2.10409137602	-2.22475611443
8.9	0.6247745	-0.157398888889	0.0231842592593	-19.5476876223	-2.19135783862	-3.26979893815
8.95	0.6247745	0.0141011111111	2.10659166667	-19.6524073775	-2.44346095279	-4.04550082792
9	0.629405	0.155683888889	2.40491697531	-19.7920337176	-2.69556406697	-2.99507118552
9.05	0.640038	0.310796111111	1.45012777778	-19.9316600578	-2.77313425595	-1.21203420277
9.1	0.6669635	0.325945277778	-0.0651594135802	-20.0712863979	-2.78283052957	0.0592550054698
9.15	0.6779395	0.243244166667	-0.438965895062	-20.2109127381	-2.7537417087	0.904985538073
9.2	0.686686	0.233049444444	0.135876697531	-20.3505390783	-2.65677897248	0.904985538071
9.25	0.6985195	0.272685	0.541336574074	-20.4727121259	-2.62769015161	0.053868186788
9.3	0.7142975	0.315941111111	0.436848611111	-20.6123384661	-2.63738642524	-1.24974193353
9.35	0.732305	0.320419166667	0.182404012346	-20.7345115137	-2.71495661421	-3.16744938325
9.4	0.7461965	0.322801111111	0.0823094135802	-20.8741378539	-2.97675600201	-4.41719131678
9.45	0.7640325	0.330709166667	-0.0651594135802	-21.0312174865	-3.25794793706	-3.49604532267
9.5	0.7798105	0.325564166667	-0.382699074074	-21.2057504117	-3.41308831501	-0.587163236009
9.55	0.797475	0.299362777778	-0.818965432099	-21.3802833369	-3.3646069469	3.28057257551
9.6	0.811538	0.236955833333	-1.10135817901	-21.5548162621	-3.05432619099	6.29180421707
9.65	0.8213135	0.171214166667	-1.01751373457	-21.6944426023	-2.5792087835	6.21100193688
9.7	0.827659	0.124623333333	-0.710031172839	-21.7991623574	-2.33680194295	4.11014265207
9.75	0.832461	0.104424444444	-0.461567901235	-21.921335405	-2.2301429331	2.768824801
9.8	0.837949	0.0898469444444	-0.41975154321	-22.0260551602	-2.09439510239	1.90154699369
9.85	0.8422365	0.0637408333333	-0.421498302469	-22.1307749153	-1.98773609255	0.177765016408
9.9	0.844123	0.0415411111111	-0.338977160494	-22.2180413779	-2.02652118704	-2.28401111989
9.95	0.8456665	0.0310605555556	-0.287156635802	-22.322761133	-2.26892802759	-3.59839487757
10	0.84721	0.0207705555556	-0.375923765432	-22.4449341806	-2.51133486815	-2.51025750441
10.05	0.848582	-0.00438277777778	-0.510477160494	-22.5845605208	-2.55981623626	-0.576389598651
10.1	0.8470385	-0.0357291666667	-0.555681172839	-22.7067335684	-2.4919423209	0.0700286428278
10.15	0.8446375	-0.0621211111111	-0.555416512346	-22.8289066161	-2.4919423209	-0.436332312999
10.2	0.8408645	-0.0892752777778	-0.580188734568	-22.9510796637	-2.56951250988	-0.576389598653
10.25	0.835891	-0.119383055556	-0.619146759259	-23.0907060039	-2.5792087835	-0.355530032814
10.3	0.829031	-0.152063333333	-0.645877469136	-23.2128790515	-2.54042368901	-1.16355283466
